;0;100;200;300;400;500;600;700;800;900;1000;1100;1200;1300;9999
0;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60
15;37;38;40;42;44;46;48;50;52;54;56;58;60;62;64
20;41;43;45;47;49;51;53;55;57;59;60;62;64;66;68
25;45;47;49;51;53;55;57;59;61;63;65;67;69;71;73
30;49;51;53;55;57;59;61;63;65;67;69;71;73;75;77
35;54;56;58;60;62;64;66;68;69;71;73;75;77;79;81
40;58;60;62;64;66;68;70;72;74;76;78;80;82;84;86
45;62;64;66;68;70;72;74;76;78;80;82;84;86;88;90
50;67;69;71;73;75;76;78;80;82;84;86;88;90;92;94
55;71;73;75;77;79;81;83;85;87;89;91;93;95;97;99
60;75;77;79;81;83;85;87;89;91;93;95;97;99;101;103
65;80;82;84;85;87;89;91;93;95;97;99;101;103;105;107
70;84;86;88;90;92;94;96;98;100;102;104;106;108;109;111
75;88;90;92;94;96;98;100;102;104;106;108;110;112;114;116
80;93;94;96;98;100;102;104;106;108;110;112;114;116;118;120
85;97;99;101;103;105;107;109;111;113;115;116;118;120;122;124
90;101;103;105;107;109;111;113;115;117;119;121;123;125;127;129
95;105;107;109;111;113;115;117;119;121;123;125;127;129;131;133
100;110;112;114;116;118;120;122;124;125;127;129;131;133;135;137
105;114;116;118;120;122;124;126;128;130;132;134;136;138;140;142
110;118;120;122;124;126;128;130;132;134;136;138;140;142;144;146
115;123;125;127;129;131;133;134;136;138;140;142;144;146;148;150
120;127;129;131;133;135;137;139;141;143;145;147;149;151;153;155
999;131;133;135;137;139;141;143;145;147;149;151;153;155;157;159
